sample	n	total	mean	median	min	max
control_mean	4261	1631919.8435102	382.989871746117	355.110494236746	35.6088344543756	3720.10122073172
Mel270.D28A	4261	1421119.33317553	333.517797037204	305.802911404014	11.1704754102737	3289.61297786139
Mel270.D28B	4261	1420666.24456563	333.411463169591	306.954548071852	19.1632628085619	3168.06984958425
Mel270.D28C	4261	1428209.78594782	335.181831952082	309.894258332431	10.9935000115719	2764.42030245638
Mel270.D35A	4261	1429452.0864421	335.473383347126	306.903753857773	12.101251302998	3242.00018705479
Mel270.D35B	4261	1420919.50920182	333.47090100958	306.664208537116	10.5838501153021	3212.44226645317
Mel270.D35C	4261	1428839.98976518	335.32973240206	306.693515819168	8.32238611810462	2816.20022901018
