sample	n	total	mean	median	min	max
control_mean	4335	1572418.97998913	362.72640830199	322.329585248709	27.4191329688964	3529.73986215839
OMM1.D28A	4335	1341593.52229932	309.479474578851	271.142478922208	14.6657120317671	3389.83095872284
OMM1.D28B	4335	1356193.91267052	312.847500039336	275.511074715988	20.1439926264688	3319.65367010154
OMM1.D28C	4335	1356518.68113142	312.922417792716	275.122147197533	13.8851137298281	3331.28032799238
OMM1.D35A	4335	1318365.52305884	304.121227925915	264.89857071046	13.0371915957409	3529.73986215839
OMM1.D35B	4335	1337847.25788691	308.615284402977	269.556689390241	15.1360588098321	3335.47659605423
OMM1.D35C	4335	1332864.83223279	307.46593592452	271.40464184864	13.7956474147015	3250.28222339694
