sample	max_essential	max_nonessential	max_unknown	mean_essential	mean_nonessential	mean_unknown	median_essential	median_nonessential	median_unknown	min_essential	min_nonessential	min_unknown	n_genes_essential	n_genes_nonessential	n_genes_unknown	total_genes
control_mean	1384.58579630835	1692.39890823246	3529.73986215839	340.15	285.06	372.79	289.295674898748	242.778185333443	316.205445936226	27.5377246684356	25.5414381820316	23.9696468843586	113	118	829	1060
OMM23.D28A	763.89916281157	1611.58539163889	3466.60802812006	179.55	260.41	322.85	148.932798268069	222.625501779034	272.492032200603	12.2232845535617	21.6916197667769	22.689744557521	113	118	829	1060
OMM23.D28B	759.725871058903	1540.48135866364	3287.03769152368	181.63	260.54	322.72	149.656621275332	228.681818482932	276.470883271279	15.1398831328408	16.8476562773378	20.1935519799564	113	118	829	1060
OMM23.D28C	786.945618729495	1643.16055132686	3349.56706902937	182.39	259.88	323.39	150.885021627155	220.669845948287	273.70834502361	14.3413753573367	16.3912805161698	21.677472765794	113	118	829	1060
OMM23.D35A	780.433524426937	1594.22357433938	3529.73986215839	174.44	260	321.42	142.091178755438	221.517016782296	274.252235601183	14.1409846175941	22.5872738994422	21.7561608823452	113	118	829	1060
OMM23.D35B	785.52232733135	1605.34068002423	3307.07096959046	176.35	261.49	321.79	144.422042377246	222.704433956936	271.699173436231	12.597432542865	11.4860434980228	16.4503100396028	113	118	829	1060
OMM23.D35C	762.591908230781	1692.39890823246	3325.33383567139	177.22	259.57	321.6	143.083373573861	217.088447082337	270.181308254177	16.1089843502411	12.8565009725308	21.557851788763	113	118	829	1060
