sample	n	total	mean	median	min	max
control_mean	4261	1558371.60609793	365.729079112397	325.193892306712	27.4191329688964	3529.73986215839
X921.D28A	4261	1226060.82444289	287.740160629638	256.684770102594	19.9917313482099	3134.6106166877
X921.D28B	4261	1228601.94528577	288.336527877439	255.86553709424	6.16763579159374	3299.84334401251
X921.D28C	4261	1219079.12031651	286.101647574869	255.469556187593	9.99618359660771	3271.53759461638
X921.D42A	4261	1184848.53842112	278.068185501319	242.8625286278	10.4266503396578	3213.87089994814
X921.D42B	4261	1178574.72148908	276.595804151391	241.930540142333	6.65271511974016	3206.95271679568
X921.D42C	4261	1176827.87032874	276.185841428947	241.437324758288	8.17679425910933	3268.16179291036
