sample	n	total	mean	median	min	max
control_mean	4335	1649615.8737502	380.534226931994	352.871980779657	35.6088344543756	3720.10122073172
OMM25.D28A	4335	1528530.66051156	352.60222849171	323.090630087069	17.9078644980134	3724.74006463363
OMM25.D28B	4335	1528681.98898453	352.637137020654	325.449505457881	23.2550726807029	3631.17363778257
OMM25.D28C	4335	1537953.5263957	354.775899975941	327.168629845591	11.889345447346	3620.10354104251
OMM25.D42A	4335	1526539.27569936	352.142854832609	321.598775420704	14.0480051709855	3971.09708705723
OMM25.D42B	4335	1506782.35058875	347.585317321511	315.840094790225	16.7717515375651	3586.87614184906
OMM25.D42C	4335	1516576.88786362	349.844726150778	319.081350699054	12.3089565557239	3644.3872319298
