sample	n	total	mean	median	min	max
control_mean	8592	3309583.6496989	385.193627758252	354.234655819272	23.0478177677379	3720.10122073172
Mel270.D28A	8592	2713267.6784307	315.789999817353	290.406412944451	9.47309629976029	3289.61297786139
Mel270.D28B	8592	2705147.1500823	314.844873147381	288.468913178225	8.56029652498585	3168.06984958425
Mel270.D28C	8592	2712573.77196545	315.709237891696	290.590910740615	9.0846399922825	2764.42030245638
Mel270.D35A	8592	2702406.53038388	314.525899718794	287.813934593719	9.80862917416402	3242.00018705479
Mel270.D35B	8592	2710521.55529009	315.470385857786	288.280622967443	8.5548975425408	3212.44226645317
Mel270.D35C	8592	2699821.58126068	314.225044373915	284.112165768892	8.20362813906719	2816.20022901018
