gene_pair_id	qc_group	cancer_type	sorted_gene_pair	targetA	targetB	mean_norm_gi	median_norm_gi	variance_norm_gi	nexp	n_replicates	n_guide_pairs	n_sig_guide_pairs	mean_grna_count_all	median_norm_gi_all	variance_norm_gi_all	svar	gi_t_score	plow	phigh	fdr
AP5M1|AP3M1	Mel270 D35	Uveal melanoma	AP3M1|AP5M1	AP5M1	AP3M1	0.226200050746493	0.270152072153887	1.11688174267619	96	3	32	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0230146110435934	1.12638125909591	0.869997912050247	0.130002087949753	0.869997912050247
SATB1|SATB2	Mel270 D35	Uveal melanoma	SATB1|SATB2	SATB1	SATB2	0.257001229319652	0.243648216875153	0.4861190611779	96	3	32	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0163750038699272	1.12823612476891	0.870389894324924	0.129610105675076	0.870389894324924
XYLT2|XYLT1	Mel270 D35	Uveal melanoma	XYLT1|XYLT2	XYLT2	XYLT1	0.265817673529421	0.25159415650288	0.657314792466538	96	3	32	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0181770641992813	1.12978685249631	0.870716975252384	0.129283024747616	0.870716975252384
IPO5|RANBP6	Mel270 D35	Uveal melanoma	IPO5|RANBP6	IPO5	RANBP6	0.294444522268917	0.259707791109178	0.628598083172775	72	3	24	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0201114552498802	1.13129288666087	0.871034081342957	0.128965918657043	0.871034081342957
CADPS2|CADPS	Mel270 D35	Uveal melanoma	CADPS|CADPS2	CADPS2	CADPS	0.191079032816034	0.261763213563153	0.835687144171559	96	3	32	1	92.8015564202335	0.0992736458444661	1.03349835299747	0.0200546679014394	1.14740766297141	0.87439341219307	0.12560658780693	0.87439341219307
TRIM25|RNF125	Mel270 D35	Uveal melanoma	RNF125|TRIM25	TRIM25	RNF125	0.22231311961228	0.257479934871847	0.71815852914071	96	3	32	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0188175245853252	1.15330054577913	0.875606476897286	0.124393523102714	0.875606476897286
ATAD2B|ATAD2	Mel270 D35	Uveal melanoma	ATAD2|ATAD2B	ATAD2B	ATAD2	0.0759637722436241	0.275902939341849	1.1530071753155	96	3	32	2	92.8015564202335	0.0992736458444661	1.03349835299747	0.0233948787555862	1.15478818651875	0.875911412021254	0.124088587978746	0.875911412021254
SPHKAP|AKAP11	Mel270 D35	Uveal melanoma	AKAP11|SPHKAP	SPHKAP	AKAP11	0.268755227498036	0.251092769244165	0.522710966674398	96	3	32	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0167601818225219	1.17270051698968	0.879542037980203	0.120457962019797	0.879542037980203
PLXDC1|FBLN1	Mel270 D35	Uveal melanoma	FBLN1|PLXDC1	PLXDC1	FBLN1	0.137449088737137	0.273630322729874	0.903404055279257	96	3	32	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0207674774920468	1.20989228902067	0.886839886764178	0.113160113235822	0.886839886764178
WAS|WASL	Mel270 D35	Uveal melanoma	WAS|WASL	WAS	WASL	0.219452211426956	0.255909225955612	0.474084006488263	96	3	32	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0162483190837205	1.22881414038751	0.890429250696327	0.109570749303673	0.890429250696327
MBTD1|L3MBTL2	Mel270 D35	Uveal melanoma	L3MBTL2|MBTD1	MBTD1	L3MBTL2	0.14985335359886	0.284934199185029	1.09480537850749	96	3	32	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0227822282628702	1.23004653246374	0.890660159850286	0.109339840149714	0.890660159850286
FKBP9|FKBP10	Mel270 D35	Uveal melanoma	FKBP9|FKBP10	FKBP9	FKBP10	0.170105460484669	0.27946533493403	0.707477692849029	84	3	28	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0197817887453733	1.28115588689576	0.899930541449837	0.100069458550163	0.899930541449837
YIPF5|YIPF7	Mel270 D35	Uveal melanoma	YIPF5|YIPF7	YIPF5	YIPF7	0.286204978480414	0.288196967295498	0.984908064068452	96	3	32	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0216254144266699	1.28470481782284	0.900552272964483	0.0994477270355172	0.900552272964483
SMAP2|SMAP1	Mel270 D35	Uveal melanoma	SMAP1|SMAP2	SMAP2	SMAP1	0.222976643982798	0.268652057888096	0.57544857583047	96	3	32	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0173153145504806	1.28719061393599	0.900986071024272	0.0990139289757276	0.900986071024272
SNRPB|SNRPN	Mel270 D35	Uveal melanoma	SNRPB|SNRPN	SNRPB	SNRPN	0.190267179376309	0.30323917235125	1.03671965587804	84	3	28	1	92.8015564202335	0.0992736458444661	1.03349835299747	0.023748559384277	1.32354324488825	0.907172607502389	0.0928273924976105	0.907172607502389
LIN28A|LIN28B	Mel270 D35	Uveal melanoma	LIN28A|LIN28B	LIN28A	LIN28B	0.156079774059024	0.297570239700916	0.923866085424393	84	3	28	1	92.8015564202335	0.0992736458444661	1.03349835299747	0.0223888778125463	1.32525390103656	0.907456523399413	0.0925434766005868	0.907456523399413
GIT1|GIT2	Mel270 D35	Uveal melanoma	GIT1|GIT2	GIT1	GIT2	0.330073054590129	0.276674035197087	0.527430887747689	84	3	28	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0176125501296945	1.33672923852085	0.909344482843351	0.0906555171566487	0.909344482843351
TBC1D28|TBC1D26	Mel270 D35	Uveal melanoma	TBC1D26|TBC1D28	TBC1D28	TBC1D26	0.124605803463357	0.296475114294781	0.613749384471362	60	3	20	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0216604930608788	1.33991107077249	0.909862870778723	0.090137129221277	0.909862870778723
CAV1|PCGF1	Mel270 D35	Uveal melanoma	CAV1|PCGF1	CAV1	PCGF1	0.197619699206226	0.294635617522773	0.930095846307661	96	3	32	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0210484437133984	1.34657341024474	0.910941168691171	0.0890588313088294	0.910941168691171
ZEB1|STX4	Mel270 D35	Uveal melanoma	STX4|ZEB1	ZEB1	STX4	0.271973917594579	0.276937714989328	0.573235707589326	96	3	32	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0172920212005738	1.35106649826832	0.911662933994653	0.088337066005347	0.911662933994653
MAK|ICK	Mel270 D35	Uveal melanoma	ICK|MAK	MAK	ICK	0.249670748640395	0.281411593825672	0.605089512707646	96	3	32	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0176273244123456	1.37185193673122	0.914945232362512	0.0850547676374883	0.914945232362512
RSC1A1|SUSD1	Mel270 D35	Uveal melanoma	RSC1A1|SUSD1	RSC1A1	SUSD1	0.265129397057769	0.288412119614779	0.665496120995179	90	3	30	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.01873544562625	1.38180852133365	0.916484749050117	0.0835152509498832	0.916484749050117
LDB1|LDB2	Mel270 D35	Uveal melanoma	LDB1|LDB2	LDB1	LDB2	0.167482281043784	0.29683296837309	0.839822323635518	96	3	32	0	92.8015564202335	0.0992736458444661	1.03349835299747	0.0200981961063232	1.39353855380219	0.918271502540681	0.081728497459319	0.918271502540681
