sample	n	total	mean	median	min	max
control_mean	8592	3089523.99090013	359.58147007683	304.507213991716	23.9696468843586	3529.73986215839
OMM1.D28A	8592	4070265.62051818	473.727376689733	368.547963044952	2.54193189453384	5978.44079236405
OMM1.D28B	8592	4118057.99585298	479.289803986613	388.247514629576	2.49108905015053	5565.58728475796
OMM1.D28C	8592	4134218.38003357	481.170668067222	383.263127612271	2.24190383694822	6290.46603137016
OMM1.D35A	8592	4147271.7733968	482.689917760336	349.762040420129	2.44101937372152	7664.59262427268
OMM1.D35B	8592	4182235.75175376	486.759282094245	378.151571962581	2.67416490952235	5656.8533652556
OMM1.D35C	8592	4252643.907584	494.953899858473	385.912153841629	2.46408273954356	7334.34497472137
