sample	n	total	mean	median	min	max
control_mean	4261	1558371.60609793	365.729079112397	325.193892306712	27.4191329688964	3529.73986215839
X921.D28A	4261	2109734.39721272	495.12658934821	431.083097056987	10.9338006917897	5726.22314869682
X921.D28B	4261	2115983.8874813	496.593261553931	432.595950961502	2.2300806324188	6373.75343407925
X921.D28C	4261	2088831.53254915	490.22096516056	422.979585722709	2.37893526637681	6260.26248422845
X921.D42A	4261	2121292.47382599	497.839116129075	394.043431361848	2.27642046863535	6126.76608637443
X921.D42B	4261	2095327.64815464	491.745517051078	395.405736870893	2.61151383821613	6182.66207656346
X921.D42C	4261	2096141.46994233	491.936510195338	396.694864926348	2.08464784813375	6443.14693564661
