"geneSymbol","modelName","tissue","cancerType","fc_clean","bf_scaled","modelId","geneId","isPanCancer","source"
"RPS3","Mel-202","Eye","Melanoma","-2.72705","-19.133","SIDM01357","SIDG32711","true","Broad"
"CENPK","Mel-202","Eye","Melanoma","-2.71114","-18.641","SIDM01357","SIDG04336","true","Broad"
"RPL26","Mel-202","Eye","Melanoma","-2.70366","-19.614","SIDM01357","SIDG32131","true","Broad"
"TCP1","Mel-202","Eye","Melanoma","-2.70362","-19.614","SIDM01357","SIDG37369","true","Broad"
"DBR1","Mel-202","Eye","Melanoma","-2.68737","-19.477","SIDM01357","SIDG06086","true","Broad"
"ACTL6A","Mel-202","Eye","Melanoma","-2.68579","-18.438","SIDM01357","SIDG00306","true","Broad"
"RRN3","Mel-202","Eye","Melanoma","-2.67058","-19.707","SIDM01357","SIDG33421","true","Broad"
"SOX10","Mel-202","Eye","Melanoma","-2.66581","-18.761","SIDM01357","SIDG36094","","Broad"
"RPS11","Mel-202","Eye","Melanoma","-2.66466","-18.112","SIDM01357","SIDG32913","true","Broad"
"AURKB","Mel-202","Eye","Melanoma","-2.66058","-20.382","SIDM01357","SIDG01983","true","Broad"
"POLR2B","Mel-202","Eye","Melanoma","-2.65618","-19.583","SIDM01357","SIDG25222","true","Broad"
"RPL24","Mel-202","Eye","Melanoma","-2.65265","-19.553","SIDM01357","SIDG32122","true","Broad"
"SF3B3","Mel-202","Eye","Melanoma","-2.63595","-17.883","SIDM01357","SIDG34254","true","Broad"
"SPC24","Mel-202","Eye","Melanoma","-2.63522","-17.884","SIDM01357","SIDG36220","true","Broad"
"RPS4X","Mel-202","Eye","Melanoma","-2.63045","-20.115","SIDM01357","SIDG32773","true","Broad"
"PLK1","Mel-202","Eye","Melanoma","-2.62914","-17.983","SIDM01357","SIDG25029","true","Broad"
"GINS1","Mel-202","Eye","Melanoma","-2.61416","-19.971","SIDM01357","SIDG10096","true","Broad"
"SNU13","Mel-202","Eye","Melanoma","-2.61191","-18.839","SIDM01357","SIDG35952","true","Broad"
