sample	n	total	mean	median	min	max
control_mean	8592	3309583.6496989	385.193627758252	354.234655819272	23.0478177677379	3720.10122073172
OMM25.D28A	8592	2830229.6541318	329.402892706215	301.611933260733	15.5086119938797	3720.10122073172
OMM25.D28B	8592	2839097.53692371	330.435001969706	302.557276872525	16.8429861328939	3631.17363778257
OMM25.D28C	8592	2862333.41812961	333.13936430745	305.472728464404	11.889345447346	3620.10354104251
OMM25.D42A	8592	2759960.58199516	321.224462522714	295.091877196622	11.4739776621786	3720.10122073172
OMM25.D42B	8592	2746876.16611637	319.701602201626	292.372491498701	10.3269058813904	3586.87614184906
OMM25.D42C	8592	2753359.63847441	320.456196284265	293.993225165226	12.3089565557239	3644.3872319298
