sample	max_essential	max_nonessential	max_unknown	mean_essential	mean_nonessential	mean_unknown	median_essential	median_nonessential	median_unknown	min_essential	min_nonessential	min_unknown	n_genes_essential	n_genes_nonessential	n_genes_unknown	total_genes
control_mean	1051.51579554276	1174.21957846963	3529.73986215839	341.51	297.44	374.71	303.407884435933	266.259047871995	332.710720662476	33.0189334620668	32.9393229355718	27.4191329688964	113	118	829	1060
MP41.D28A	1338.80468288717	1559.41465636135	5273.89058402215	294.34	420.97	506.9	242.295837756185	375.388748777504	452.277403227807	11.2336694871365	32.5585737845951	2.92152739685716	113	118	829	1060
MP41.D28B	1315.5576830729	1383.35875393561	4618.71489307996	293.45	412.17	496.87	238.131279297787	370.179833769419	438.795198226857	2.37972047463773	16.8771170515239	2.38122607877497	113	118	829	1060
MP41.D28C	1309.52947379729	1607.88571363633	5274.75268607881	296.08	434.68	513.87	229.038539861137	369.173758435507	454.794265256793	5.26006774021192	16.8082100277241	4.51704280852781	113	118	829	1060
MP41.D32A	1313.98964227542	1697.85082977012	5651.64791521018	287.93	429.6	514.88	229.375025023579	382.683658616479	447.338300748801	2.17038911834973	29.3390805725559	2.50486077233784	113	118	829	1060
MP41.D32B	1283.78847323882	1459.92111970118	5387.45923770248	288.74	425.86	508.44	223.075878459624	378.327728495754	448.453776506816	2.62476946770272	6.8063380487465	3.05194292497123	113	118	829	1060
MP41.D32C	1476.47378210578	1610.9715063709	5252.94772502078	289	434.12	520.71	215.50779144124	366.830070315373	461.253675106053	2.30857742762835	27.3757358617936	2.30370786764929	113	118	829	1060
