sample	max_essential	max_nonessential	max_unknown	mean_essential	mean_nonessential	mean_unknown	median_essential	median_nonessential	median_unknown	min_essential	min_nonessential	min_unknown	n_genes_essential	n_genes_nonessential	n_genes_unknown	total_genes
control_mean	1083.98926606839	1113.93020804736	3720.10122073172	362.72	287.22	402.14	337.70799847377	265.360950216973	368.497323226416	37.0624349850133	23.0478177677379	34.6450506372963	113	118	829	1060
MP46.D28A	1044.57234470078	1113.93020804736	3720.10122073172	254.7	264.65	358.89	224.984769661324	245.760750145086	332.884497337965	2.65213635434081	2.64916596238739	2.65262900271009	113	118	829	1060
MP46.D28B	1044.57234470078	1113.93020804736	3720.10122073172	258.57	264.41	361.71	230.156669539624	245.390179095478	335.760809451249	2.82976800449582	5.51535028819091	2.84309149998403	113	118	829	1060
MP46.D28C	876.772768038846	1113.93020804736	3720.10122073172	250.78	261.71	354.44	222.338480172152	242.871036473761	328.573038943615	2.47731683420112	3.23281616277692	2.85601680491308	113	118	829	1060
MP46.D64A	1044.57234470078	1113.93020804736	3720.10122073172	142.43	162.62	223.32	72.7939678796525	123.781625831149	172.093255799798	2.4795446403129	2.48680286970244	2.47677355881053	113	118	829	1060
MP46.D64B	1044.57234470078	997.086276146573	2757.66268355229	147.34	154.36	223.56	70.5440232442986	111.198769732907	173.404056303845	2.61016148795874	2.62038634871409	2.60480197665715	113	118	829	1060
MP46.D64C	1002.86100765092	997.086276146573	2797.30458927443	139	160.31	214.28	68.9307597494226	117.482735290942	155.655597719857	2.4502708121218	2.46524039702943	2.45333084462206	113	118	829	1060
